rank,building,floor,area_m2,price_ils,est_market_value,est_profit_ils,est_profit_pct,liquidity,resale_score
1,1,7,89.0,1408362,2699770,1291408,91.7,1.0,91.7
2,1,6,76.0,1179877,2240784,1060907,89.9,1.0,89.9
3,1,6,79.0,1232605,2329236,1096631,89.0,1.0,89.0
4,1,6,89.0,1408362,2624076,1215714,86.3,1.0,86.3
5,2,6,89.0,1408362,2624076,1215714,86.3,1.0,86.3
6,1,5,76.0,1179877,2197692,1017815,86.3,1.0,86.3
7,3,5,76.0,1179877,2197692,1017815,86.3,1.0,86.3
8,1,5,79.0,1232605,2284443,1051838,85.3,1.0,85.3
9,3,5,79.0,1232605,2284443,1051838,85.3,1.0,85.3
10,1,5,89.0,1408362,2573613,1165251,82.7,1.0,82.7
11,2,5,89.0,1408362,2573613,1165251,82.7,1.0,82.7
12,1,4,76.0,1179877,2154600,974723,82.6,1.0,82.6
13,2,4,76.0,1179877,2154600,974723,82.6,1.0,82.6
14,3,4,76.0,1179877,2154600,974723,82.6,1.0,82.6
15,1,4,79.0,1232605,2239650,1007045,81.7,1.0,81.7
16,2,4,79.0,1232605,2239650,1007045,81.7,1.0,81.7
17,3,4,79.0,1232605,2239650,1007045,81.7,1.0,81.7
18,1,3,76.0,1179877,2133054,953177,80.8,1.0,80.8
19,2,3,76.0,1179877,2133054,953177,80.8,1.0,80.8
20,3,3,76.0,1179877,2133054,953177,80.8,1.0,80.8
21,1,3,79.0,1232605,2217254,984649,79.9,1.0,79.9
22,2,3,79.0,1232605,2217254,984649,79.9,1.0,79.9
23,3,3,79.0,1232605,2217254,984649,79.9,1.0,79.9
24,1,4,89.0,1408362,2523150,1114788,79.2,1.0,79.2
25,2,4,89.0,1408362,2523150,1114788,79.2,1.0,79.2
26,1,3,89.0,1408362,2497918,1089556,77.4,1.0,77.4
27,2,3,89.0,1408362,2497918,1089556,77.4,1.0,77.4
28,1,2,76.0,1179877,2089962,910085,77.1,1.0,77.1
29,2,2,76.0,1179877,2089962,910085,77.1,1.0,77.1
30,3,2,76.0,1179877,2089962,910085,77.1,1.0,77.1
31,1,2,79.0,1232605,2172460,939855,76.2,1.0,76.2
32,2,2,79.0,1232605,2172460,939855,76.2,1.0,76.2
33,3,2,79.0,1232605,2172460,939855,76.2,1.0,76.2
34,1,7,109.0,1759877,3149010,1389133,78.9,0.95,75.0
35,1,2,89.0,1408362,2447456,1039094,73.8,1.0,73.8
36,2,2,89.0,1408362,2447456,1039094,73.8,1.0,73.8
37,1,1,76.0,1179877,2046870,866993,73.5,1.0,73.5
38,2,1,76.0,1179877,2046870,866993,73.5,1.0,73.5
39,3,1,76.0,1179877,2046870,866993,73.5,1.0,73.5
40,1,1,79.0,1232605,2127668,895063,72.6,1.0,72.6
41,2,1,79.0,1232605,2127668,895063,72.6,1.0,72.6
42,3,1,79.0,1232605,2127668,895063,72.6,1.0,72.6
43,1,6,105.4,1697307,2959632,1262325,74.4,0.95,70.7
44,1,6,109.0,1759877,3060720,1300843,73.9,0.95,70.2
45,2,6,109.0,1759877,3060720,1300843,73.9,0.95,70.2
46,1,1,89.0,1408362,2396992,988630,70.2,1.0,70.2
47,2,1,89.0,1408362,2396992,988630,70.2,1.0,70.2
48,3,6,109.5,1768665,3074760,1306095,73.8,0.95,70.1
49,3,6,110.5,1786240,3102840,1316600,73.7,0.95,70.0
50,1,5,105.4,1697307,2902716,1205409,71.0,0.95,67.5
51,3,5,105.4,1697307,2902716,1205409,71.0,0.95,67.5
52,1,5,109.0,1759877,3001860,1241983,70.6,0.95,67.1
53,2,5,109.0,1759877,3001860,1241983,70.6,0.95,67.1
54,3,5,109.5,1768665,3015630,1246965,70.5,0.95,67.0
55,3,5,110.5,1786240,3043170,1256930,70.4,0.95,66.9
56,1,4,105.4,1697307,2845800,1148493,67.7,0.95,64.3
57,2,4,105.4,1697307,2845800,1148493,67.7,0.95,64.3
58,3,4,105.4,1697307,2845800,1148493,67.7,0.95,64.3
59,3,4,109.5,1768665,2956500,1187835,67.2,0.95,63.8
60,1,4,109.0,1759877,2943000,1183123,67.2,0.95,63.8
61,2,4,109.0,1759877,2943000,1183123,67.2,0.95,63.8
62,3,4,110.5,1786240,2983500,1197260,67.0,0.95,63.6
63,1,3,105.4,1697307,2817342,1120035,66.0,0.95,62.7
64,2,3,105.4,1697307,2817342,1120035,66.0,0.95,62.7
65,3,3,105.4,1697307,2817342,1120035,66.0,0.95,62.7
66,1,3,109.0,1759877,2913570,1153693,65.6,0.95,62.3
67,2,3,109.0,1759877,2913570,1153693,65.6,0.95,62.3
68,3,3,109.5,1768665,2926935,1158270,65.5,0.95,62.2
69,3,3,110.5,1786240,2953665,1167425,65.4,0.95,62.1
70,1,2,105.4,1697307,2760426,1063119,62.6,0.95,59.5
71,2,2,105.4,1697307,2760426,1063119,62.6,0.95,59.5
72,3,2,105.4,1697307,2760426,1063119,62.6,0.95,59.5
73,1,2,109.0,1759877,2854710,1094833,62.2,0.95,59.1
74,2,2,109.0,1759877,2854710,1094833,62.2,0.95,59.1
75,3,2,109.5,1768665,2867805,1099140,62.1,0.95,59.0
76,3,2,110.5,1786240,2893995,1107755,62.0,0.95,58.9
77,1,1,105.4,1697307,2703510,1006203,59.3,0.95,56.3
78,2,1,105.4,1697307,2703510,1006203,59.3,0.95,56.3
79,3,1,105.4,1697307,2703510,1006203,59.3,0.95,56.3
80,1,1,109.0,1759877,2795850,1035973,58.9,0.95,56.0
81,2,1,109.0,1759877,2795850,1035973,58.9,0.95,56.0
82,3,1,109.5,1768665,2808675,1040010,58.8,0.95,55.9
83,3,1,110.5,1786240,2834325,1048085,58.7,0.95,55.8
84,3,0,76.0,1290604,1982232,691628,53.6,1.0,53.6
